,0,1
1743,861,431
1744,810,448
1745,987,598
1746,1253,473
1747,529,663
1748,765,519
1749,544,987
1750,812,855
1751,829,480
1752,692,494
1753,989,599
1754,901,661
1755,605,508
1756,1270,944
1757,1417,466
1758,890,471
1759,229,1046
1760,957,467
1761,636,460
1762,861,430
1763,810,448
1764,928,512
1765,1243,470
1766,812,873
1767,544,1004
1768,524,672
1769,1289,963
1770,766,523
1771,991,602
1772,830,484
1773,604,512
1774,635,464
1775,691,499
1776,961,471
1777,1229,464
1778,890,471
1779,861,431
1780,810,449
1781,904,670
1782,1405,463
1783,1890,749
1784,929,513
1785,905,670
1786,540,1012
1787,814,885
1788,521,675
1789,1295,969
1790,993,603
1791,930,515
1792,831,485
1793,603,514
1794,766,527
1795,634,464
1796,690,500
1797,964,473
1798,892,471
1799,906,675
1800,1220,462
1801,810,449
1802,1872,750
1803,1399,460
1804,861,431
1805,814,893
1806,518,679
1807,533,1019
1808,1305,974
1809,602,515
1810,766,528
1811,831,485
1812,994,605
1813,910,680
1814,891,472
1815,690,501
1816,966,475
1817,634,465
1818,1215,460
1819,1854,733
1820,932,515
1821,810,450
1822,861,432
1823,515,686
1824,816,905
1825,1311,977
1826,766,528
1827,832,486
1828,532,1028
1829,602,518
1830,689,502
1831,891,472
1832,1839,721
1833,912,684
1834,968,477
1835,634,466
1836,995,608
1837,810,451
1838,932,517
1839,861,432
1840,1385,459
1841,995,608
1842,1327,987
1843,511,693
1844,819,928
1845,599,521
1846,767,531
1847,835,489
1848,1804,693
1849,690,505
1850,973,480
1851,893,473
1852,935,518
1853,1193,452
1854,531,1045
1855,633,469
1856,812,452
1857,759,458
1858,863,433
1859,999,609
1860,916,694
1861,509,700
1862,1330,991
1863,819,943
1864,767,532
1865,835,490
1866,598,524
1867,975,484
1868,892,473
1869,690,507
1870,632,470
1871,759,459
1872,934,518
1873,1765,680
1874,864,434
1875,812,455
1876,917,700
1877,1001,611
1878,1772,680
1879,1337,997
1880,768,533
1881,820,955
1882,507,704
1883,835,491
1884,596,527
1885,979,485
1886,893,474
1887,1739,670
1888,690,509
1889,920,706
1890,630,471
1891,1002,613
1892,812,456
1893,864,434
1894,760,460
1895,936,520
1896,1003,613
1897,935,520
1898,1349,1001
1899,503,709
1900,768,534
1901,821,969
1902,836,491
1903,1713,659
1904,597,527
1905,981,487
1906,893,474
1907,937,521
1908,688,513
1909,629,473
1910,760,460
1911,812,456
1912,864,434
1913,1004,615
1914,924,712
1915,497,720
1916,837,495
1917,824,979
1918,769,537
1919,593,532
1920,688,515
1921,1374,1011
1922,987,491
1923,927,722
1924,895,476
1925,629,475
1926,1659,638
1927,813,457
1928,864,434
1929,1011,620
1930,1165,442
1931,1007,619
1932,937,519
1933,825,984
1934,592,534
1935,494,723
1936,939,523
1937,769,538
1938,838,498
1939,688,516
1940,989,494
1941,1378,1016
1942,1636,629
1943,629,476
1944,759,464
1945,864,434
1946,895,477
1947,815,458
1948,1011,621
1949,1007,621
1950,930,729
1951,491,731
1952,592,535
1953,839,498
1954,825,986
1955,688,517
1956,769,542
1957,627,477
1958,814,458
1959,896,476
1960,1385,1021
1961,939,523
1962,1611,620
1963,932,735
1964,759,462
1965,865,435
1966,992,495
1967,1153,439
1968,1335,447
1969,1008,622
1970,488,736
1971,839,500
1972,829,997
1973,769,543
1974,687,520
1975,592,538
1976,627,478
1977,815,459
1978,896,477
1979,996,499
1980,935,743
1981,1592,612
1982,1149,438
1983,1397,1028
1984,760,471
1985,1008,623
1986,941,521
1987,937,743
1988,770,547
